token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
impertinence	S	Latin	4947	151	406	7	3	2	TFm	1	1	0	0	7	0	2	1	3	2	12	77	11	-1		psychologie	Conflit
impertinent	B	Latin	4947	131	406	7	3	2	Fm	1	1	0	0	7	0	2	1	3	2	11			0			
impertinemment	D	Latin	4947	12	406	10	3	2	Fm	1	1	0	0	7	0	2	1	3	2	14			0			
pertinent	A	Latin	4947	47	406	9	3	2	Fm	1	1	0	0	7	0	2	1	3	2	9			0			
pertinemment	D	Latin	4947	42	406	9	3	2	Fm	1	1	0	0	7	0	2	1	3	2	12			0			
pertinence	S	Latin	4947	21	406	9	3	2	Fm	1	1	0	0	7	0	2	1	3	2	10			0			
pertinace	A	Latin	4947	2	406	11	3	2	Fm	1	1	0	0	7	0	2	1	3	2	9			0			
imperturbable	A	Latin	4948	130	339	7	3	2	TFm	1	1	1	0	8	1	3	1	3	1	13	97	12.12	0		psychologie	Attitude
imperturbablement	D	Latin	4948	38	339	9	3	2	Fm	1	1	1	0	8	1	3	1	3	1	17			0			
imperturbabilité	S	Latin	4948	2	339	11	3	2	Fm	1	1	1	0	8	1	3	1	3	1	16			0			
imperturbé	A	Latin	4948	1	339	12	3	2	Fm	1	1	1	0	8	1	3	1	3	1	10			0			
perturbation	S	Latin	4948	105	339	7	3	2	Fm	1	1	1	0	8	1	3	1	3	1	12			0			
perturbateur	B	Latin	4948	43	339	9	3	2	Fm	1	1	1	0	8	1	3	1	3	1	12			0			
perturber	V	Latin	4948	11	339	10	3	2	Fm	1	1	1	0	8	1	3	1	3	1	9			0			
perturbé	A	Latin	4948	9	339	10	3	2	Fm	1	1	1	0	8	1	3	1	3	1	8			0			
impétigineux	S	Latin	4949	1	2	12	4	1	TFm	0	1	0	0	2	0	0	0	2	0	12	20	10	-1		pathologie	Corps
impétigo	S	Latin	4949	1	2	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	8			0			
impétrant	S	Latin	4950	2	7	11	4	2	TFm	0	1	1	0	5	1	2	0	2	0	9	50	10	0		droit	Droit
impétration	S	Latin	4950	2	7	11	4	2	Fm	0	1	1	0	5	1	2	0	2	0	11			0			
