token	pos	etymology	family	freq	freq_family	freq_bins_12	freq_bins_4	family_size	family_membership	family_with_prefix	cognate	family_has_verb	family_with_altradical	tokens_per_family	verbs_per_family	adjectives_per_family	nomadjective_per_family	nouns_per_family	adverbsconjs_per_family	length	length_family_sum	length_family_mean	sentiment	register	domains_124	domains_47
abaca	S	Oriental	1	1	1	12	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	5	5	5	0		sylviculture	Végétal
abandonner	V	Germain	2	3529	10526	4	2	4	TFm	1	1	1	0	19	3	3	1	13	0	10	161	8.47	0		sociologie	Mouvement
abandonné	A	Germain	2	2247	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	9			0			
abandon	S	Germain	2	1286	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	7			0			
abandonnement	S	Germain	2	28	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	13			0			
ban	S	Germain	2	95	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	3			0			
banlieue	S	Germain	2	513	10526	5	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
banlieusard	S	Germain	2	6	10526	10	2	4	Fm	1	1	1	0	19	3	3	1	13	0	11			0			
bannière	S	Germain	2	200	10526	6	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
bannir	V	Germain	2	98	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	6			0			
banni	A	Germain	2	1	10526	12	2	4	Fm	1	1	1	0	19	3	3	1	13	0	5			0			
bannissement	S	Germain	2	14	10526	10	2	4	Fm	1	1	1	0	19	3	3	1	13	0	12			0			
bandit	S	Germain	2	360	10526	6	2	4	Fm	1	1	1	0	19	3	3	1	13	0	6			0			
banditisme	S	Germain	2	4	10526	11	2	4	Fm	1	1	1	0	19	3	3	1	13	0	10			0			
contrebande	S	Germain	2	66	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	11			0			
contrebandier	B	Germain	2	33	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	13			0			
bande	S	Germain	2	1829	10526	4	2	4	Fm	1	1	1	0	19	3	3	1	13	0	5			0			
débandade	S	Germain	2	139	10526	7	2	4	Fm	1	1	1	0	19	3	3	1	13	0	9			0			
débandé	A	Germain	2	52	10526	8	2	4	Fm	1	1	1	0	19	3	3	1	13	0	7			0			
débander	V	Germain	2	26	10526	9	2	4	Fm	1	1	1	0	19	3	3	1	13	0	8			0			
abaque	S	Latin	3	2	2	11	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	6	6	6	0		mathématiques	Calcul
abasourdi	A	Français ancien	4	138	144	7	3	1	TFm	0	0	1	0	2	1	1	0	0	0	9	19	9.5	0		psychologie	Sentiment
abasourdir	V	Français ancien	4	6	144	10	3	1	Fm	0	0	1	0	2	1	1	0	0	0	10			0			
abbé	S	Latin	5	4199	4751	4	2	2	TFm	0	1	0	1	5	0	1	0	4	0	4	34	6.8	0		religion	Deus
abbesse	S	Latin	5	134	4751	7	2	2	Fm	0	1	0	1	5	0	1	0	4	0	7			0			
abbatial	A	Latin	5	44	4751	9	2	2	Fm	0	1	0	1	5	0	1	0	4	0	8			0			
abbatille	S	Latin	5	1	4751	12	2	2	Fm	0	1	0	1	5	0	1	0	4	0	9			0			
abbaye	S	Latin	5	373	4751	6	2	2	Fm	0	1	0	1	5	0	1	0	4	0	6			0			
abcès	S	Latin	6	133	135	7	3	1	TFm	0	1	1	0	3	1	1	0	1	0	5	18	6	-1		pathologie	Corps
abcéder	V	Latin	6	1	135	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	7			0			
abcédé	A	Latin	6	1	135	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	6			0			
abdiquer	V	Latin	7	193	379	7	3	2	TFm	0	1	1	0	4	1	1	0	2	0	8	36	9	-1		droit	Politis
abdiqué	A	Latin	7	46	379	9	3	2	Fm	0	1	1	0	4	1	1	0	2	0	7			0			
abdication	S	Latin	7	139	379	7	3	2	Fm	0	1	1	0	4	1	1	0	2	0	10			0			
abdicataire	S	Latin	7	1	379	12	3	2	Fm	0	1	1	0	4	1	1	0	2	0	11			0			
abdomen	S	Latin	8	48	72	9	3	2	TFm	0	1	0	0	4	0	2	0	2	0	7	40	10	0		anatomie	Corps
abdominal	A	Latin	8	22	72	9	3	2	Fm	0	1	0	0	4	0	2	0	2	0	9			0			
abdominien	A	Latin	8	1	72	12	3	2	Fm	0	1	0	0	4	0	2	0	2	0	10			0			
abdominoscopie	S	Latin	8	1	72	12	3	2	Fm	0	1	0	0	4	0	2	0	2	0	14			0			
abduction	S	Latin	9	4	5	11	4	1	TFm	0	1	0	0	2	0	0	0	2	0	9	18	9	0		corps humain	Corps
abducteur	S	Latin	9	1	5	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	9			0			
abécédaire	S	Latin	10	9	11	10	4	1	TFm	0	1	0	0	3	0	0	0	3	0	10	22	7.33	0		littérature	Vox
abécédé	S	Latin	10	1	11	12	4	1	Fm	0	1	0	0	3	0	0	0	3	0	7			0			
abécé	S	Latin	10	1	11	12	4	1	Fm	0	1	0	0	3	0	0	0	3	0	5			0			
abeille	S	Latin	11	902	905	5	2	2	TFm	0	0	0	0	4	0	1	0	3	0	7	30	7.5	0		entomologie	Animal
abeillé	A	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	7			0			
abeiller	S	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	8			0			
abeillon	S	Latin	11	1	905	12	2	2	Fm	0	0	0	0	4	0	1	0	3	0	8			0			
abélie	S	Latin	12	1	2	12	4	1	TFm	0	1	0	0	2	0	0	0	2	0	6	15	7.5	0		sylviculture	Patro/Topo
abelmosch	S	Latin	12	1	2	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	9			0			
abélien	A	Patro	13	2	3	11	4	1	TFm	0	1	0	0	2	0	2	0	0	0	7	16	8	0		mathématiques	Calcul
abélienne	A	Patro	13	1	3	12	4	1	Fm	0	1	0	0	2	0	2	0	0	0	9			0			
aberration	S	Latin	14	142	201	7	3	2	TFm	0	1	1	0	5	1	2	0	2	0	10	40	8	-1		psychologie	Intellect
aberrant	A	Latin	14	55	201	8	3	2	Fm	0	1	1	0	5	1	2	0	2	0	8			0			
aberrance	S	Latin	14	2	201	11	3	2	Fm	0	1	1	0	5	1	2	0	2	0	9			0			
aberré	A	Latin	14	1	201	12	3	2	Fm	0	1	1	0	5	1	2	0	2	0	6			0			
aberrer	V	Latin	14	1	201	12	3	2	Fm	0	1	1	0	5	1	2	0	2	0	7			0			
abhorrer	V	Latin	15	55	80	8	3	1	TFm	0	1	1	0	2	1	1	0	0	0	8	15	7.5	-1	Littéraire	psychologie	Conflit
abhorré	A	Latin	15	25	80	9	3	1	Fm	0	1	1	0	2	1	1	0	0	0	7			0			
abies	S	Latin	16	1	4	12	4	2	TFm	0	1	0	0	4	0	0	0	4	0	5	31	7.75	0		sylviculture	Végétal
abiétacées	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	10			0			
abiétine	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	8			0			
abiétiné	S	Latin	16	1	4	12	4	2	Fm	0	1	0	0	4	0	0	0	4	0	8			0			
abîme	S	Grec	17	1761	2322	4	2	2	TFm	0	1	1	1	5	1	2	0	2	0	5	29	5.8	-1	Littéraire	géographie	Liquide
abîmer	V	Grec	17	324	2322	6	2	2	Fm	0	1	1	1	5	1	2	0	2	0	6			0			
abîmé	A	Grec	17	221	2322	6	2	2	Fm	0	1	1	1	5	1	2	0	2	0	5			0			
abyssal	A	Grec	17	15	2322	10	2	2	Fm	0	1	1	1	5	1	2	0	2	0	7			0			
abisse	S	Grec	17	1	2322	12	2	2	Fm	0	1	1	1	5	1	2	0	2	0	6			0			
abject	A	Latin	18	205	313	6	2	1	TFm	0	1	0	0	3	0	1	0	1	1	6	26	8.67	-1	Littéraire	psychologie	Attitude
abjection	S	Latin	18	107	313	7	2	1	Fm	0	1	0	0	3	0	1	0	1	1	9			0			
abjectement	D	Latin	18	1	313	12	2	1	Fm	0	1	0	0	3	0	1	0	1	1	11			0			
ablatif	S	Latin	19	4	20	11	4	1	TFm	0	1	0	0	3	0	1	0	2	0	7	23	7.67	0		géologie	Vox
ablation	S	Latin	19	15	20	10	4	1	Fm	0	1	0	0	3	0	1	0	2	0	8			0			
ablativo	A	Latin	19	1	20	12	4	1	Fm	0	1	0	0	3	0	1	0	2	0	8			0			
ablette	S	Latin	20	29	40	9	3	1	TFm	0	0	0	0	2	0	0	0	2	0	7	11	5.5	0		poissons	Animal
able	S	Latin	20	11	40	10	3	1	Fm	0	0	0	0	2	0	0	0	2	0	4			0			
ablution	S	Latin	21	43	44	9	3	1	TFm	0	1	1	0	2	1	0	0	1	0	8	19	9.5	1		religion	Liquide
ablutionner	V	Latin	21	1	44	12	3	1	Fm	0	1	1	0	2	1	0	0	1	0	11			0			
aboli	A	Latin	22	318	666	6	2	2	TFm	0	1	1	0	6	1	1	0	4	0	5	60	10	0			FOURRETOUT
abolir	V	Latin	22	240	666	6	2	2	Fm	0	1	1	0	6	1	1	0	4	0	6			0			
abolition	S	Latin	22	105	666	7	2	2	Fm	0	1	1	0	6	1	1	0	4	0	9			0			
abolissement	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	12			0			
abolitionnisme	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	14			0			
abolitionniste	S	Latin	22	1	666	12	2	2	Fm	0	1	1	0	6	1	1	0	4	0	14			0			
abomasum	S	Latin	23	1	1	12	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	8	8	8	0		mammifère	Corps
abominable	A	Latin	24	1018	1326	4	2	2	TFm	0	1	1	0	5	1	2	0	1	1	10	50	10	-1		psychologie	Conflit
abomination	S	Latin	24	209	1326	6	2	2	Fm	0	1	1	0	5	1	2	0	1	1	11			0			
abominablement	D	Latin	24	60	1326	8	2	2	Fm	0	1	1	0	5	1	2	0	1	1	14			0			
abominer	V	Latin	24	36	1326	9	2	2	Fm	0	1	1	0	5	1	2	0	1	1	8			0			
abominé	A	Latin	24	3	1326	11	2	2	Fm	0	1	1	0	5	1	2	0	1	1	7			0			
abondance	S	Latin	25	659	1949	5	2	3	TFm	1	1	1	0	11	2	4	0	3	2	9	106	9.64	1		économie	Bénéfique
abondant	A	Latin	25	551	1949	5	2	3	Fm	1	1	1	0	11	2	4	0	3	2	8			0			
abondamment	D	Latin	25	179	1949	7	2	3	Fm	1	1	1	0	11	2	4	0	3	2	11			0			
abonder	V	Latin	25	294	1949	6	2	3	Fm	1	1	1	0	11	2	4	0	3	2	7			0			
abondé	A	Latin	25	4	1949	11	2	3	Fm	1	1	1	0	11	2	4	0	3	2	6			0			
débondade	S	Latin	25	1	1949	12	2	3	Fm	1	1	1	0	11	2	4	0	3	2	9			0			
surabondamment	D	Latin	25	37	1949	9	2	3	Fm	1	1	1	0	11	2	4	0	3	2	14			0			
surabondance	S	Latin	25	117	1949	7	2	3	Fm	1	1	1	0	11	2	4	0	3	2	12			0			
surabondant	A	Latin	25	62	1949	8	2	3	Fm	1	1	1	0	11	2	4	0	3	2	11			0			
surabonder	V	Latin	25	44	1949	9	2	3	Fm	1	1	1	0	11	2	4	0	3	2	10			0			
surabondé	A	Latin	25	1	1949	12	2	3	Fm	1	1	1	0	11	2	4	0	3	2	9			0			
abonné	B	Latin	26	126	250	7	3	2	TFm	1	1	1	0	7	3	1	1	3	0	6	64	9.14	0		sociologie	FOURRETOUT
abonner	V	Latin	26	25	250	9	3	2	Fm	1	1	1	0	7	3	1	1	3	0	7			0			
abonnement	S	Latin	26	89	250	8	3	2	Fm	1	1	1	0	7	3	1	1	3	0	10			0			
abonnable	A	Latin	26	1	250	12	3	2	Fm	1	1	1	0	7	3	1	1	3	0	9			0			
désabonnement	S	Latin	26	4	250	11	3	2	Fm	1	1	1	0	7	3	1	1	3	0	13			0			
désabonner	V	Latin	26	4	250	11	3	2	Fm	1	1	1	0	7	3	1	1	3	0	10			0			
réabonner	V	Latin	26	1	250	12	3	2	Fm	1	1	1	0	7	3	1	1	3	0	9			0			
abord	S	Germain	27	14984	26068	2	1	5	TFm	1	1	1	0	40	8	10	3	22	0	5	324	8.1	0		locatif, lieux	Locus
aborder	V	Germain	27	1325	26068	4	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
abordé	A	Germain	27	253	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
abordage	S	Germain	27	46	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
abordable	A	Germain	27	21	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
abordeur	S	Germain	27	2	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
inabordable	A	Germain	27	46	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	11			0			
réaborder	V	Germain	27	4	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
bord	S	Germain	27	5552	26068	3	1	5	Fm	1	1	1	0	40	8	10	3	22	0	4			0			
bordage	S	Germain	27	47	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
border	V	Germain	27	342	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
bordé	A	Germain	27	227	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	5			0			
bordée	A	Germain	27	399	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
bordel	S	Germain	27	164	26068	7	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
bordelier	S	Germain	27	5	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
bordelière	S	Germain	27	2	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	10			0			
bordeaux	S	Germain	27	67	26068	8	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
bordelais	B	Germain	27	35	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
bordelaise	A	Germain	27	28	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	10			0			
bordereau	S	Germain	27	227	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
borderie	S	Germain	27	1	26068	12	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
bordier	B	Germain	27	5	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
bordure	S	Germain	27	279	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
bordurer	V	Germain	27	1	26068	12	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
déborder	V	Germain	27	906	26068	5	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
débordé	A	Germain	27	213	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
débordant	A	Germain	27	366	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	9			0			
débordement	S	Germain	27	156	26068	7	1	5	Fm	1	1	1	0	40	8	10	3	22	0	11			0			
débord	S	Germain	27	3	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
rebord	S	Germain	27	260	26068	6	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
reborder	V	Germain	27	7	26068	10	1	5	Fm	1	1	1	0	40	8	10	3	22	0	8			0			
rebordé	A	Germain	27	5	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
redéborder	V	Germain	27	2	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	10			0			
transbordement	S	Germain	27	16	26068	10	1	5	Fm	1	1	1	0	40	8	10	3	22	0	14			0			
transbordeur	B	Germain	27	14	26068	10	1	5	Fm	1	1	1	0	40	8	10	3	22	0	12			0			
transbordé	A	Germain	27	6	26068	10	1	5	Fm	1	1	1	0	40	8	10	3	22	0	10			0			
transborder	V	Germain	27	5	26068	11	1	5	Fm	1	1	1	0	40	8	10	3	22	0	11			0			
tribord	S	Germain	27	40	26068	9	1	5	Fm	1	1	1	0	40	8	10	3	22	0	7			0			
tribordais	S	Germain	27	6	26068	10	1	5	Fm	1	1	1	0	40	8	10	3	22	0	10			0			
babord	S	Germain	27	1	26068	12	1	5	Fm	1	1	1	0	40	8	10	3	22	0	6			0			
abouna	S	Inconnu	28	1	1	12	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	6	6	6	0		orientalisme	Deus
aboyer	V	Latin	29	307	657	6	2	2	TFm	0	1	1	0	5	1	2	0	2	0	6	31	6.2	0		mammifère	Animal
aboyé	A	Latin	29	23	657	9	2	2	Fm	0	1	1	0	5	1	2	0	2	0	5			0			
aboyeur	A	Latin	29	16	657	10	2	2	Fm	0	1	1	0	5	1	2	0	2	0	7			0			
aboiement	S	Latin	29	147	657	7	2	2	Fm	0	1	1	0	5	1	2	0	2	0	9			0			
aboi	S	Latin	29	164	657	7	2	2	Fm	0	1	1	0	5	1	2	0	2	0	4			0			
abracadabrant	A	Grec	30	27	29	9	3	1	TFm	0	1	1	0	3	1	1	0	1	0	13	36	12	-1		psychologie	Intellect
abracadabra	S	Grec	30	1	29	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	11			0			
abracadabrer	V	Grec	30	1	29	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	12			0			
abrasé	A	Latin	31	1	7	12	4	2	TFm	1	1	1	0	5	2	1	0	2	0	6	37	7.4	0		technique	Faber
abraser	V	Latin	31	1	7	12	4	2	Fm	1	1	1	0	5	2	1	0	2	0	7			0			
abrasif	S	Latin	31	1	7	12	4	2	Fm	1	1	1	0	5	2	1	0	2	0	7			0			
ébrasement	S	Latin	31	3	7	11	4	2	Fm	1	1	1	0	5	2	1	0	2	0	10			0			
ébraser	V	Latin	31	1	7	12	4	2	Fm	1	1	1	0	5	2	1	0	2	0	7			0			
abre	S	Grec	32	1	2	12	4	1	TFm	0	1	0	0	2	0	0	0	2	0	4	9	4.5	0		plantes	Végétal
abrus	S	Grec	32	1	2	12	4	1	Fm	0	1	0	0	2	0	0	0	2	0	5			0			
abri	S	Français ancien	33	1510	2436	4	2	1	TFm	0	0	1	0	3	1	1	0	1	0	4	17	5.67	1		bâtiment	Construction
abriter	V	Français ancien	33	661	2436	5	2	1	Fm	0	0	1	0	3	1	1	0	1	0	7			0			
abrité	A	Français ancien	33	265	2436	6	2	1	Fm	0	0	1	0	3	1	1	0	1	0	6			0			
abricot	S	Arabe	34	70	100	8	3	2	TFm	0	0	1	0	4	1	0	0	3	0	7	36	9	0		plantes	Végétal
abricotier	S	Arabe	34	28	100	9	3	2	Fm	0	0	1	0	4	1	0	0	3	0	10			0			
abricoter	V	Arabe	34	1	100	12	3	2	Fm	0	0	1	0	4	1	0	0	3	0	9			0			
abricotine	S	Arabe	34	1	100	12	3	2	Fm	0	0	1	0	4	1	0	0	3	0	10			0			
abrupt	A	Latin	35	169	199	7	3	1	TFm	0	0	0	0	2	0	1	0	0	1	6	17	8.5	-1		géographie	FOURRETOUT
abruptement	D	Latin	35	30	199	9	3	1	Fm	0	0	0	0	2	0	1	0	0	1	11			0			
abscisse	S	Latin	36	7	7	10	4	0	TSfm	0	1	0	0	1	0	0	0	1	0	8	8	8	0		mathématiques	Calcul
abscons	A	Latin	37	20	21	9	3	1	TFm	0	1	1	0	2	1	1	0	0	0	7	16	8	-1	Littéraire	psychologie	Intellect
absconder	V	Latin	37	1	21	12	3	1	Fm	0	1	1	0	2	1	1	0	0	0	9			0			
absence	S	Latin	38	2725	4058	4	2	2	TFm	0	1	1	0	6	1	2	0	2	1	7	50	8.33	0		sociologie	FOURRETOUT
absent	A	Latin	38	1193	4058	4	2	2	Fm	0	1	1	0	6	1	2	0	2	1	6			0			
absenter	V	Latin	38	120	4058	7	2	2	Fm	0	1	1	0	6	1	2	0	2	1	8			0			
absenté	A	Latin	38	18	4058	10	2	2	Fm	0	1	1	0	6	1	2	0	2	1	7			0			
absentéisme	S	Latin	38	1	4058	12	2	2	Fm	0	1	1	0	6	1	2	0	2	1	11			0			
absentement	D	Latin	38	1	4058	12	2	2	Fm	0	1	1	0	6	1	2	0	2	1	11			0			
abside	S	Grec	39	88	91	8	3	2	TFm	0	1	0	1	4	0	1	0	3	0	6	28	7	0		bâtiment	Construction
absidal	A	Grec	39	1	91	12	3	2	Fm	0	1	0	1	4	0	1	0	3	0	7			0			
absidiole	S	Grec	39	1	91	12	3	2	Fm	0	1	0	1	4	0	1	0	3	0	9			0			
apside	S	Grec	39	1	91	12	3	2	Fm	0	1	0	1	4	0	1	0	3	0	6			0			
absinthe	S	Grec	40	162	164	7	3	1	TFm	0	1	1	0	3	1	1	0	1	0	8	27	9	0		plantes	Végétal
absintheux	A	Grec	40	1	164	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	10			0			
absinther	V	Grec	40	1	164	12	3	1	Fm	0	1	1	0	3	1	1	0	1	0	9			0			
absolu	A	Latin	41	3739	7523	4	2	2	TFm	0	1	0	0	5	0	1	1	3	1	6	47	9.4	0		philosophie	Deus
absolument	D	Latin	41	3712	7523	4	2	2	Fm	0	1	0	0	5	0	1	1	3	1	10			0			
absolutisme	S	Latin	41	50	7523	8	2	2	Fm	0	1	0	0	5	0	1	1	3	1	11			0			
absolutiste	B	Latin	41	21	7523	9	2	2	Fm	0	1	0	0	5	0	1	1	3	1	11			0			
absoluité	S	Latin	41	1	7523	12	2	2	Fm	0	1	0	0	5	0	1	1	3	1	9			0			
absorber	V	Latin	42	881	2073	5	2	3	TFm	1	1	1	0	12	3	6	0	3	0	8	106	8.83	0		alimentation	Liquide
absorbé	A	Latin	42	754	2073	5	2	3	Fm	1	1	1	0	12	3	6	0	3	0	7			0			
absorption	S	Latin	42	121	2073	7	2	3	Fm	1	1	1	0	12	3	6	0	3	0	10			0			
absorbant	A	Latin	42	118	2073	7	2	3	Fm	1	1	1	0	12	3	6	0	3	0	9			0			
absorbable	A	Latin	42	3	2073	11	2	3	Fm	1	1	1	0	12	3	6	0	3	0	10			0			
absorbeur	S	Latin	42	2	2073	11	2	3	Fm	1	1	1	0	12	3	6	0	3	0	9			0			
réabsorbé	A	Latin	42	3	2073	11	2	3	Fm	1	1	1	0	12	3	6	0	3	0	9			0			
réabsorber	V	Latin	42	1	2073	12	2	3	Fm	1	1	1	0	12	3	6	0	3	0	10			0			
résorber	V	Latin	42	120	2073	7	2	3	Fm	1	1	1	0	12	3	6	0	3	0	8			0			
résorbé	A	Latin	42	51	2073	8	2	3	Fm	1	1	1	0	12	3	6	0	3	0	7			0			
résorbant	A	Latin	42	9	2073	10	2	3	Fm	1	1	1	0	12	3	6	0	3	0	9			0			
résorption	S	Latin	42	10	2073	10	2	3	Fm	1	1	1	0	12	3	6	0	3	0	10			0			
absoudre	V	Latin	43	147	396	7	3	2	TFm	0	1	1	0	8	2	3	0	3	0	8	72	9	1		religion	Deus
absous	A	Latin	43	49	396	9	3	2	Fm	0	1	1	0	8	2	3	0	3	0	6			0			
absout	A	Latin	43	1	396	12	3	2	Fm	0	1	1	0	8	2	3	0	3	0	6			0			
absoute	A	Latin	43	36	396	9	3	2	Fm	0	1	1	0	8	2	3	0	3	0	7			0			
absolution	S	Latin	43	160	396	7	3	2	Fm	0	1	1	0	8	2	3	0	3	0	10			0			
absolutionnel	A	Latin	43	1	396	12	3	2	Fm	0	1	1	0	8	2	3	0	3	0	13			0			
absolutoire	A	Latin	43	1	396	12	3	2	Fm	0	1	1	0	8	2	3	0	3	0	11			0			
absolutiser	V	Latin	43	1	396	12	3	2	Fm	0	1	1	0	8	2	3	0	3	0	11			0			
absterger	V	Latin	44	1	9	12	4	2	TFm	1	1	1	0	7	2	2	1	3	0	9	60	8.57	0		médecine	Corps
abstersif	S	Latin	44	1	9	12	4	2	Fm	1	1	1	0	7	2	2	1	3	0	9			0			
abstergent	A	Latin	44	1	9	12	4	2	Fm	1	1	1	0	7	2	2	1	3	0	10			0			
déterger	V	Latin	44	2	9	11	4	2	Fm	1	1	1	0	7	2	2	1	3	0	8			0			
détergé	A	Latin	44	1	9	12	4	2	Fm	1	1	1	0	7	2	2	1	3	0	7			0			
détergent	S	Latin	44	1	9	12	4	2	Fm	1	1	1	0	7	2	2	1	3	0	9			0			
détersif	B	Latin	44	2	9	11	4	2	Fm	1	1	1	0	7	2	2	1	3	0	8			0			
abstrait	A	Latin	45	1640	10171	4	2	5	TFm	1	1	1	1	37	8	8	2	19	2	8	336	9.08	0		beaux-arts	Intellect
abstraire	V	Latin	45	78	10171	8	2	5	Fm	1	1	1	1	37	8	8	2	19	2	9			0			
abstraction	S	Latin	45	821	10171	5	2	5	Fm	1	1	1	1	37	8	8	2	19	2	11			0			
abstraitement	D	Latin	45	63	10171	8	2	5	Fm	1	1	1	1	37	8	8	2	19	2	13			0			
abstractif	A	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
abstracteur	S	Latin	45	16	10171	10	2	5	Fm	1	1	1	1	37	8	8	2	19	2	11			0			
soustraire	V	Latin	45	291	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
soustrait	A	Latin	45	254	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	9			0			
soustraction	S	Latin	45	29	10171	9	2	5	Fm	1	1	1	1	37	8	8	2	19	2	12			0			
distrait	B	Latin	45	966	10171	5	2	5	Fm	1	1	1	1	37	8	8	2	19	2	8			0			
distraire	V	Latin	45	723	10171	5	2	5	Fm	1	1	1	1	37	8	8	2	19	2	9			0			
distraitement	D	Latin	45	316	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	13			0			
distrayant	A	Latin	45	26	10171	9	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
distrayeur	S	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
distraction	S	Latin	45	708	10171	5	2	5	Fm	1	1	1	1	37	8	8	2	19	2	11			0			
distractibilité	S	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	15			0			
attrait	S	Latin	45	732	10171	5	2	5	Fm	1	1	1	1	37	8	8	2	19	2	7			0			
attrayant	A	Latin	45	122	10171	7	2	5	Fm	1	1	1	1	37	8	8	2	19	2	9			0			
attraire	V	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	8			0			
attraction	S	Latin	45	346	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
attractif	A	Latin	45	31	10171	9	2	5	Fm	1	1	1	1	37	8	8	2	19	2	9			0			
extrait	S	Latin	45	444	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	7			0			
extraire	V	Latin	45	279	10171	6	2	5	Fm	1	1	1	1	37	8	8	2	19	2	8			0			
extracteur	S	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
extraction	S	Latin	45	108	10171	7	2	5	Fm	1	1	1	1	37	8	8	2	19	2	10			0			
extractrice	S	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	11			0			
traire	V	Latin	45	67	10171	8	2	5	Fm	1	1	1	1	37	8	8	2	19	2	6			0			
retraire	V	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	8			0			
trayant	A	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	7			0			
trayeur	S	Latin	45	1	10171	12	2	5	Fm	1	1	1	1	37	8	8	2	19	2	7			0			
